Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENGREST_heat_load_shifting_1
19,1,0.4111,1,1,1,1,1,1,0.3334,0.4111,0,1,0.3183,1,1,1,1,1,1,0.295,0.3183,0,1,0.647,1,1,0.3721,0.647,0,1,1,1,1,1,0.39749518,0,0.727838397,0.589475592
20,1,0.4109,1,1,1,1,1,1,0.3371,0.4109,0,1,0.3183,1,1,1,1,1,1,0.3486,0.3183,0,1,0.6471,1,1,0.4032,0.6471,0,1,1,1,1,1,0.496466726,0,0.715845704,0.567665539
21,1,0.4108,1,1,1,1,1,1,0.3655,0.4108,0,1,0.3183,1,1,1,1,1,1,0.402,0.3183,0,1,0.6472,1,1,0.4321,0.6472,0,1,1,1,1,1,0.473803699,0,0.997990131,0.537276462
22,1,0.4107,1,1,1,1,1,1,0.3239,0.4107,0,1,0.3183,1,1,1,1,1,1,0.5832,0.3183,0,1,0.6473,1,1,0.3869,0.6473,0,1,1,1,1,1,0.41893515,0,1,0.499637506
23,1,0.4105,1,1,1,1,1,1,0.3099,0.4105,0,1,0.3183,1,1,1,1,1,1,0.2323,0.3183,0,1,0.6474,1,1,0.3839,0.6474,0,1,1,1,1,1,0.284269661,0,1,0.457467376
24,1,0.4104,1,1,1,1,1,1,0.2563,0.4104,0,1,0.3183,1,1,1,1,1,1,0.1156,0.3183,0,1,0.6475,1,1,0.3826,0.6475,0,1,1,1,1,1,0.188350141,0,1,0.421761721
25,1,0.4103,1,1,1,1,1,1,0.2859,0.4103,0,1,0.3183,1,1,1,1,1,1,0.1172,0.3183,0,1,0.6476,1,1,0.371,0.6476,0,1,1,1,1,1,0.224506184,0,1,0.400132914
26,1,0.4101,1,1,1,1,1,1,0.3088,0.4101,0,1,0.3183,1,1,1,1,1,1,0.2896,0.3183,0,1,0.6477,1,1,0.398,0.6477,0,1,1,1,1,1,0.251233041,0,1,0.389741421
27,1,0.41,1,1,1,1,1,1,0.4519,0.41,0,1,0.3183,1,1,1,1,1,1,0.3875,0.3183,0,1,0.6478,1,1,0.4724,0.6478,0,1,1,1,1,1,0.423246384,0,1,0.387324795
28,1,0.4099,1,1,1,1,1,1,0.5653,0.4099,0,1,0.3183,1,1,1,1,1,1,0.1827,0.3183,0,1,0.6479,1,1,0.3937,0.6479,0,1,1,1,1,1,0.421854436,0,1,0.395903818
